name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Temptation Inside Your Heart,The Velvet Underground,0.567,0.664,0,-9.469,1,0.0609,0.74,0.0,0.152,0.872,147.662,audio_features,5Dqeoob5sVUwsbkDv1Ajjj,spotify:track:5Dqeoob5sVUwsbkDv1Ajjj,https://api.spotify.com/v1/tracks/5Dqeoob5sVUwsbkDv1Ajjj,https://api.spotify.com/v1/audio-analysis/5Dqeoob5sVUwsbkDv1Ajjj,152027,4
Sister Ray,The Velvet Underground,0.265,0.866,7,-8.969,1,0.0482,0.44,0.527,0.207,0.575,131.157,audio_features,6Ygud4FKAaSPjr4WuAm2AL,spotify:track:6Ygud4FKAaSPjr4WuAm2AL,https://api.spotify.com/v1/tracks/6Ygud4FKAaSPjr4WuAm2AL,https://api.spotify.com/v1/audio-analysis/6Ygud4FKAaSPjr4WuAm2AL,1047320,4
I Heard Her Call My Name,The Velvet Underground,0.223,0.936,0,-8.296,1,0.0873,0.481,0.616,0.076,0.552,143.635,audio_features,4ObFHADQyJI8q4aE81cZoM,spotify:track:4ObFHADQyJI8q4aE81cZoM,https://api.spotify.com/v1/tracks/4ObFHADQyJI8q4aE81cZoM,https://api.spotify.com/v1/audio-analysis/4ObFHADQyJI8q4aE81cZoM,278680,4
White Light/White Heat,The Velvet Underground,0.516,0.641,8,-10.972,1,0.0436,0.624,0.49,0.285,0.66,127.913,audio_features,06NN2Pvkkn4fF7iTgVxdeE,spotify:track:06NN2Pvkkn4fF7iTgVxdeE,https://api.spotify.com/v1/tracks/06NN2Pvkkn4fF7iTgVxdeE,https://api.spotify.com/v1/audio-analysis/06NN2Pvkkn4fF7iTgVxdeE,168013,4
It Was A Pleasure Then,Nico,0.267,0.175,2,-15.065,1,0.0366,0.942,0.547,0.116,0.0742,100.482,audio_features,1NIPccr0kY8XNg6yds1U8a,spotify:track:1NIPccr0kY8XNg6yds1U8a,https://api.spotify.com/v1/tracks/1NIPccr0kY8XNg6yds1U8a,https://api.spotify.com/v1/audio-analysis/1NIPccr0kY8XNg6yds1U8a,482867,3
Chelsea Girls,Nico,0.333,0.163,7,-15.576,0,0.039,0.962,0.0024,0.122,0.194,101.288,audio_features,1WJjqHx6agqO2vrhkJPCjp,spotify:track:1WJjqHx6agqO2vrhkJPCjp,https://api.spotify.com/v1/tracks/1WJjqHx6agqO2vrhkJPCjp,https://api.spotify.com/v1/audio-analysis/1WJjqHx6agqO2vrhkJPCjp,446427,4
Sunday Morning,The Velvet Underground,0.5,0.482,5,-11.871,0,0.0276,0.0834,0.000237,0.0868,0.499,105.73,audio_features,0TrUTCYmnQPPZooFANHCmz,spotify:track:0TrUTCYmnQPPZooFANHCmz,https://api.spotify.com/v1/tracks/0TrUTCYmnQPPZooFANHCmz,https://api.spotify.com/v1/audio-analysis/0TrUTCYmnQPPZooFANHCmz,176480,4
I'll Be Your Mirror,The Velvet Underground,0.612,0.284,7,-14.837,1,0.0354,0.337,0.0,0.0836,0.325,109.017,audio_features,5N0MpcSMzDfnbcYYV8tJYU,spotify:track:5N0MpcSMzDfnbcYYV8tJYU,https://api.spotify.com/v1/tracks/5N0MpcSMzDfnbcYYV8tJYU,https://api.spotify.com/v1/audio-analysis/5N0MpcSMzDfnbcYYV8tJYU,134707,4
Heroin,The Velvet Underground,0.201,0.73,1,-11.583,1,0.0661,0.309,0.682,0.0956,0.212,146.675,audio_features,4xDPSvQFvSjLqgzpBNfDj2,spotify:track:4xDPSvQFvSjLqgzpBNfDj2,https://api.spotify.com/v1/tracks/4xDPSvQFvSjLqgzpBNfDj2,https://api.spotify.com/v1/audio-analysis/4xDPSvQFvSjLqgzpBNfDj2,432680,4
There She Goes Again,The Velvet Underground,0.492,0.575,7,-8.694,1,0.0321,0.0856,0.578,0.0552,0.919,124.548,audio_features,71hQ2aoCo6moE9zGR9YvkS,spotify:track:71hQ2aoCo6moE9zGR9YvkS,https://api.spotify.com/v1/tracks/71hQ2aoCo6moE9zGR9YvkS,https://api.spotify.com/v1/audio-analysis/71hQ2aoCo6moE9zGR9YvkS,161373,3
All Tomorrow's Parties,The Velvet Underground,0.379,0.565,2,-11.941,1,0.0435,0.0183,0.000167,0.0947,0.16,92.523,audio_features,3bza6Zv5T2dmdWRuOcdsrA,spotify:track:3bza6Zv5T2dmdWRuOcdsrA,https://api.spotify.com/v1/tracks/3bza6Zv5T2dmdWRuOcdsrA,https://api.spotify.com/v1/audio-analysis/3bza6Zv5T2dmdWRuOcdsrA,359960,4
Run Run Run,The Velvet Underground,0.443,0.751,7,-9.609,1,0.128,0.687,0.0275,0.0695,0.555,142.778,audio_features,0BiuuVn4XsK2IklQm7NAzj,spotify:track:0BiuuVn4XsK2IklQm7NAzj,https://api.spotify.com/v1/tracks/0BiuuVn4XsK2IklQm7NAzj,https://api.spotify.com/v1/audio-analysis/0BiuuVn4XsK2IklQm7NAzj,262707,4
Venus In Furs,The Velvet Underground,0.241,0.672,8,-8.119,0,0.0348,0.0137,0.54,0.0598,0.611,144.934,audio_features,2YUqc1QqJfkaajJn7gdkQj,spotify:track:2YUqc1QqJfkaajJn7gdkQj,https://api.spotify.com/v1/tracks/2YUqc1QqJfkaajJn7gdkQj,https://api.spotify.com/v1/audio-analysis/2YUqc1QqJfkaajJn7gdkQj,312640,4
I'm Waiting For The Man,The Velvet Underground,0.677,0.745,7,-8.034,1,0.0455,0.109,0.837,0.243,0.864,125.916,audio_features,3lRT5QdCkP9fMeeW9pxJGD,spotify:track:3lRT5QdCkP9fMeeW9pxJGD,https://api.spotify.com/v1/tracks/3lRT5QdCkP9fMeeW9pxJGD,https://api.spotify.com/v1/audio-analysis/3lRT5QdCkP9fMeeW9pxJGD,279987,4
Femme Fatale,The Velvet Underground,0.56,0.159,0,-13.756,1,0.0299,0.888,0.0,0.108,0.176,103.42,audio_features,14ScV7KUfZ8eUetfz5cQmL,spotify:track:14ScV7KUfZ8eUetfz5cQmL,https://api.spotify.com/v1/tracks/14ScV7KUfZ8eUetfz5cQmL,https://api.spotify.com/v1/audio-analysis/14ScV7KUfZ8eUetfz5cQmL,159067,4
Jack & Jane,The Velvet Underground,0.833,0.621,4,-8.289,1,0.0376,0.189,2.8e-06,0.058,0.961,119.525,audio_features,6KDBCw8UZpZFSOYU64YChH,spotify:track:6KDBCw8UZpZFSOYU64YChH,https://api.spotify.com/v1/tracks/6KDBCw8UZpZFSOYU64YChH,https://api.spotify.com/v1/audio-analysis/6KDBCw8UZpZFSOYU64YChH,177067,4
Wordless,The Velvet Underground,0.624,0.514,0,-9.506,1,0.0271,0.751,0.000604,0.143,0.469,88.159,audio_features,3Lc4EFhwaxUQg9IdfL3PZ6,spotify:track:3Lc4EFhwaxUQg9IdfL3PZ6,https://api.spotify.com/v1/tracks/3Lc4EFhwaxUQg9IdfL3PZ6,https://api.spotify.com/v1/audio-analysis/3Lc4EFhwaxUQg9IdfL3PZ6,183093,4
Send No Letter,The Velvet Underground,0.474,0.765,5,-7.853,1,0.0706,0.0616,1.84e-06,0.0639,0.939,177.934,audio_features,5lctbHcYWfgCae10dgVc2A,spotify:track:5lctbHcYWfgCae10dgVc2A,https://api.spotify.com/v1/tracks/5lctbHcYWfgCae10dgVc2A,https://api.spotify.com/v1/audio-analysis/5lctbHcYWfgCae10dgVc2A,192907,4
Caroline,The Velvet Underground,0.693,0.695,6,-7.781,1,0.136,0.217,0.0,0.108,0.827,159.849,audio_features,5sdoJNRJh1Vbr6qYk1solp,spotify:track:5sdoJNRJh1Vbr6qYk1solp,https://api.spotify.com/v1/tracks/5sdoJNRJh1Vbr6qYk1solp,https://api.spotify.com/v1/audio-analysis/5sdoJNRJh1Vbr6qYk1solp,155147,4
Mean Old Man,The Velvet Underground,0.774,0.714,2,-9.27,1,0.036,0.0296,0.0,0.29,0.826,120.307,audio_features,5cYnwvde4Z5UE9lvhnUv0q,spotify:track:5cYnwvde4Z5UE9lvhnUv0q,https://api.spotify.com/v1/tracks/5cYnwvde4Z5UE9lvhnUv0q,https://api.spotify.com/v1/audio-analysis/5cYnwvde4Z5UE9lvhnUv0q,173147,4
Little Jack,The Velvet Underground,0.655,0.79,9,-7.457,1,0.032,0.204,6.82e-06,0.495,0.758,101.863,audio_features,0tMbZfyqgUjp1iHg9xOWHv,spotify:track:0tMbZfyqgUjp1iHg9xOWHv,https://api.spotify.com/v1/tracks/0tMbZfyqgUjp1iHg9xOWHv,https://api.spotify.com/v1/audio-analysis/0tMbZfyqgUjp1iHg9xOWHv,207067,4
Crash,The Velvet Underground,0.735,0.253,2,-14.739,1,0.032,0.688,1.01e-05,0.0515,0.922,96.283,audio_features,0hQ5ZtNq6lpGhnLNIuvBNu,spotify:track:0hQ5ZtNq6lpGhnLNIuvBNu,https://api.spotify.com/v1/tracks/0hQ5ZtNq6lpGhnLNIuvBNu,https://api.spotify.com/v1/audio-analysis/0hQ5ZtNq6lpGhnLNIuvBNu,82987,4
Beginning To See The Light,The Velvet Underground,0.46,0.614,0,-11.961,1,0.0298,0.0117,0.404,0.121,0.836,136.368,audio_features,2P2jTf1t6kLbPiByLaVG7N,spotify:track:2P2jTf1t6kLbPiByLaVG7N,https://api.spotify.com/v1/tracks/2P2jTf1t6kLbPiByLaVG7N,https://api.spotify.com/v1/audio-analysis/2P2jTf1t6kLbPiByLaVG7N,332800,4
Heroin,The Velvet Underground,0.248,0.553,0,-13.653,1,0.0537,0.359,0.757,0.112,0.194,170.747,audio_features,4q6kZ0V1tNLROQWPnhlgvw,spotify:track:4q6kZ0V1tNLROQWPnhlgvw,https://api.spotify.com/v1/tracks/4q6kZ0V1tNLROQWPnhlgvw,https://api.spotify.com/v1/audio-analysis/4q6kZ0V1tNLROQWPnhlgvw,494040,4
New Age,The Velvet Underground,0.385,0.413,0,-12.13,1,0.0333,0.535,0.00033,0.29,0.347,79.379,audio_features,3TS0PSEGYcvQWVPeK2DrWi,spotify:track:3TS0PSEGYcvQWVPeK2DrWi,https://api.spotify.com/v1/tracks/3TS0PSEGYcvQWVPeK2DrWi,https://api.spotify.com/v1/audio-analysis/3TS0PSEGYcvQWVPeK2DrWi,396173,4
