index,uri
"spectrum (say my name) - calvin harris remix, florence + the machine",spotify:track:1c478uMN61yF2JOXXEtsdw
"hunger, florence + the machine",spotify:track:6Ju28M6P8Y8sLjBgWjyUUD
"shake it out, florence + the machine",spotify:track:4lY95OMGb9WxP6IYut64ir
"you've got the love, florence + the machine",spotify:track:6u9RqxALwkjJ1ukB1y8vuP
"homemade dynamite - remix, lorde",spotify:track:5u64RlrnvvbtNh6R0EMh6o
"perfect places, lorde",spotify:track:1qXjolYMICsnISl8xZAbA2
"liability (reprise), lorde",spotify:track:7kEN6uPEaCTATwQKagVcVE
"supercut, lorde",spotify:track:6IIcLzR05sN1gk4ngzz7Kk
"writer in the dark, lorde",spotify:track:5bMWY1u9ghi4X6fIAsQRaC
"sober ii (melodrama), lorde",spotify:track:0dtMnnWhm2AXVxjJy5hUPe
"hard feelings/loveless, lorde",spotify:track:3VDX4CCJWbRXBKuW5IY5R9
"the louvre, lorde",spotify:track:4YBDSEzVNQbvCvVIWNtruF
"homemade dynamite, lorde",spotify:track:0zL76omZWytdTtyXKVfuDw
"sober, lorde",spotify:track:0PXCdhnm9fRgrIgoMcteZa
"a world alone, lorde",spotify:track:55N0YHhO55Q1lWsc4dDPcI
"white teeth teens, lorde",spotify:track:35kahykNu00FPysz3C2euR
"still sane, lorde",spotify:track:5TRZnGsX49uCZkXxIbD7Ru
"glory and gore, lorde",spotify:track:60jI0JgMLLj1VggHJVhtRs
"buzzcut season, lorde",spotify:track:51QEyJI5M7uyd8DOh9tqQY
"400 lux, lorde",spotify:track:6rjtB7KSIiJ6v9vrACMlqF
"tennis court, lorde",spotify:track:74fpNVAJrKGQuqHETi4WSt
"liability, lorde",spotify:track:6Kkt27YmFyIFrcX3QXFi2o
"green light, lorde",spotify:track:6ie2Bw3xLj2JcGowOlcMhb
"ribs, lorde",spotify:track:2MvvoeRt8NcOXWESkxWn3g
"team, lorde",spotify:track:3G6hD9B2ZHOsgf4WfNu7X1
"royals, lorde",spotify:track:2dLLR6qlu5UJ5gk0dKz0h3
"yellow flicker beat, lorde",spotify:track:0Nf53RDPZEjFrQE4B5n6Vf
"isolation, jeff beck",spotify:track:2yoZimUShwEoCsXEfmRGNV
"souvenir - radio edit, feu! chatterton",spotify:track:2P5Y8kEmwwoeFgO9maRLgp
"tu m'avais dit - acoustic version, alice et moi",spotify:track:3Rknbh3F8jGlF8r9dado3F
"love me do - remastered 2009, the beatles",spotify:track:3VbGCXWRiouAq8VyMYN2MI
"the kids are alright, the who",spotify:track:4zJBF8rXepeoJ0qJOqMLhj
"we gotta get out of this place - uk single version, the animals",spotify:track:5geF5xzPGHxpmk9BDBHphZ
"with a girl like you, the troggs",spotify:track:3VGBUfN2EOVHJ4Y92yIh2f
"a whiter shade of pale - original single version, procol harum",spotify:track:78ZqE2tjAxbqEGGlvGnQfT
"strange brew, cream",spotify:track:3ET8TZWF5sP4SPfJK1lKun
"gloria (feat. van morrison) - stereo version, them",spotify:track:1DKyFVzIh1oa1fFnEmTkIl
"time of the season - mono version, the zombies",spotify:track:5AJrhrwz4oSZX2PwwV4qrN
"i wanna be your man - mono, the rolling stones",spotify:track:2gQkEvBvRlwm6iQxC0fkE4
"bus stop, the hollies",spotify:track:3Jw2A9SC8zhntx4ON9VabX
"it's my life, the animals",spotify:track:7yGR8R1HgQJeW6s3KRuyGS
"i feel free, cream",spotify:track:62nYkaIBesfvQSSwTjPnYS
"it's good to be king, tom petty",spotify:track:1c0flvMImhKMuiZIc0VzEb
"saving grace, tom petty",spotify:track:1fx892FhPzDsp8UVv0BGVj
"elegie, patti smith",spotify:track:1s20rDPeaWhdDRZGVXOlb2
"land: horses / land of a thousand dances / la mer(de), patti smith",spotify:track:0KkXMzaRaXL8AyChkWbYCx
"break it up, patti smith",spotify:track:5UoBmpb4VHNBbKjxmL8WGe
"kimberly, patti smith",spotify:track:0iI8LriXKjg47IxjNCWuwz
"free money, patti smith",spotify:track:1wP1qnWy0cZWxnbWkzf9La
"birdland, patti smith",spotify:track:4UcCvuacrweynfWohap8NR
"redondo beach, patti smith",spotify:track:6zCBk93V8M7fPriZj9i4dd
"gloria: in excelsis deo, patti smith",spotify:track:272Z4tzaSMMcgrZ0R494S2
"daddy long legs, midnight sister",spotify:track:0hPrCD9AkQ85ofQrfaRFgG
"blue cigar, midnight sister",spotify:track:7Gjam2xvI8zOIKUf7blzi0
"about her, malcolm mclaren",spotify:track:0WN1ICX0u0NenOccX8gRp3
"make you mine, public",spotify:track:0xv503ojmZFWr6n4HgXBYW
"dondante, my morning jacket",spotify:track:4TIONK6tnZWlNl5HdKpWby
"louise, the velvet underground",spotify:track:6uHeiOu6GTXFaHWHGqmUp0
"i'm gonna move right in, the velvet underground",spotify:track:6xCy0YfuaplQ6owztn6D6b
"one of these days, the velvet underground",spotify:track:47PentxCa073FNgE4sNVCr
"get on top, tim buckley",spotify:track:2OqesAvEfzM5KvBHhRlz5l
"dolphins - remastered, tim buckley",spotify:track:0tvepqOHxqKt2PYRcLTHRR
"sweet surrender, tim buckley",spotify:track:42AO7bZPlJIxAbbn81k4kw
"pleasant street, tim buckley",spotify:track:1L8n3DR0g5w36X51i2k8A4
"sing a song for you, tim buckley",spotify:track:01o6YGrdvMrUAFmWgwoDCb
"song to the siren - take 7, tim buckley",spotify:track:5ckwOX7SVzt9OISbGkD299
"buzzin' fly, tim buckley",spotify:track:3Xy16SYnhBiSBL5yUXaHG1
"song to the siren, tim buckley",spotify:track:5s5N8kSizrNMAhcCvFnYjg
"désert désir (spitzer remix), grand blanc",spotify:track:3YmSuzkpw5hDfmmV4c9aLj
"evidence (molecule remix), grand blanc",spotify:track:6Aqcgp1DGo4cjIMKNmtxi5
"ailleurs - edit, grand blanc",spotify:track:17SNswMd5SsxcYJmbX0Lx3
"los angeles, grand blanc",spotify:track:1SrMihACqwxk4fIGOIUbYS
"montparnasse, grand blanc",spotify:track:3e21BAJLKPFzmrVsSyhgPq
"l'homme serpent, grand blanc",spotify:track:0VUzBOSDzWj7pUonicaeep
"summer summer, grand blanc",spotify:track:7oMw0xvv76DFdvnPSSSGj3
"disque sombre, grand blanc",spotify:track:2NiKa1imnItnXPf0KK21XV
"télévision, grand blanc",spotify:track:5yhOQSbRP8Msk9c0Ata8Vj
"rêve bb rêve, grand blanc",spotify:track:2u8SBvgmR0BUDKpU5xI4rk
"image au mur, grand blanc",spotify:track:74IWXZMc9oMcYTJEgJERIL
"des gens bien, grand blanc",spotify:track:69OwNzQ27PBh64RkkD2zcL
"isati, grand blanc",spotify:track:6fK6m1D6uREJuFwEnVo7YI
"l'amour fou, grand blanc",spotify:track:4JvGQUcFf17aDeJJuNAiZf
"sitôt, alex beaupain",spotify:track:47N4GLAQwudCP1JJMPCD50
"drôle d'époque, clara luciani",spotify:track:3tTwH5Ut4S1LuTRKUTcj1O
"qu'est ce qu'on y peut ?, pierre lapointe",spotify:track:7d0NNbdPcgbJtwjndKy269
"mon ombre, clara luciani",spotify:track:4PIaJuqgruXdcgFAxc2u66
"à crever, clara luciani",spotify:track:71OstTpEUSzqwCa5nUKGbE
"eddy, clara luciani",spotify:track:4o7h3cDkhTqk3cUhDfju8c
"pleure clara, pleure, clara luciani",spotify:track:4wANLVRn4s0FqYuvwM0UMh
